page,startDate,endDate,name,url,addressCountry,addressLocality,addressRegion,streetAddress,postalCode,latitude,longitude,locationName,id
45,2023-07-07,2023-07-08,Aftershow Party Carl Bechstein Gymnasium Erkner 2023,https://www.eventbrite.de/e/aftershow-party-carl-bechstein-gymnasium-erkner-2023-tickets-639377153277,DE,Berlin,Berlin,Wiebestr. 42,10553,52.52798,13.31894,Loewe Saal,639377153277
45,2023-06-24,2023-06-24,Casino Comedy - Stand Up Comedy in English,https://www.eventbrite.co.uk/e/casino-comedy-stand-up-comedy-in-english-tickets-641944682827,DE,Berlin,BE,Grünberger Straße 84,10245,52.5109095,13.4613414,The Wall Comedy,641944682827
45,2023-06-15,2023-06-15,Fischermanns Orchestra + Berlin Jazz Composers Orchestra JayJayBeCe,https://www.eventbrite.de/e/fischermanns-orchestra-berlin-jazz-composers-orchestra-jayjaybece-tickets-645411752927,DE,Berlin,BE,Hasselwerderstraße 22A,12439,52.4575195,13.5166003,"""Alte Kita""",645411752927
45,2023-06-17,2023-06-18,EXPEDICION⁴ | TECHNO - PSYTRANCE - DRUM & BASS,https://www.eventbrite.de/e/expedicion4-techno-psytrance-drum-bass-tickets-645539083777,DE,Berlin,Berlin,Wiesenweg 5-9,10365,52.5074312,13.476009500000032,VOID Club & Hall,645539083777
44,2023-06-19,2023-06-19,Self Defense Workshop,https://www.eventbrite.com/e/self-defense-workshop-tickets-645192396827,DE,Berlin,BE,Greifswalder Straße 23,10405.0,52.53127749999999,13.4278877,b23 Space,645192396827
44,2023-06-09,2023-06-09,Sofia and Miles MURDER SUICIDE —LIVE!,https://www.eventbrite.com/e/sofia-and-miles-murder-suicide-live-tickets-633157780967,DE,Berlin,BE,Donaustraße 112,12043.0,52.4831996,13.4341756,Valentin Stüberl,633157780967
44,2023-06-08,2023-06-08,Conquer Overthinking And Make Lasting Changes,https://www.eventbrite.com.au/e/conquer-overthinking-and-make-lasting-changes-tickets-528819592637,DE,Berlin,Brandenburg,Berlin,,52.52000659999999,13.404954,Berlin Online,528819592637
44,2023-06-10,2023-06-10,"FREE YOUR VOICE- Beginners workshop // 10.6 // Neukölln, Berlin",https://www.eventbrite.com/e/free-your-voice-beginners-workshop-106-neukolln-berlin-tickets-643209937237,DE,Berlin,BE,Ziegelstraße 11,12057.0,52.5231023,13.3905232,Ziegelstraße 11,643209937237
44,2023-06-08,2023-06-08,Abschluss  Bayerische Buchtage Berlin'23 : Ein Film von Werner Fritsch,https://www.eventbrite.com/e/abschluss-bayerische-buchtage-berlin23-ein-film-von-werner-fritsch-tickets-649067988827,DE,Berlin,BE,Torstraße 218,10115.0,52.5274009,13.3894661,Galerie & Bar Tor218 Artlab,649067988827
44,2023-06-18,2023-06-18,Juneteenth Picnic at the Lake,https://www.eventbrite.de/e/juneteenth-picnic-at-the-lake-tickets-386999224097,DE,Berlin,BE,Nordufer 26,13351.0,52.5433852,13.3290023,Strandbad Plötzensee,386999224097
44,2023-06-14,2023-06-14,Blueprint Band - Berlin,https://www.eventbrite.com/e/blueprint-band-berlin-tickets-637146711967,DE,Berlin,,Holzmarktstraße 25,10243.0,52.5119155,13.4253998,Salöön - Haus 2 Holzmarkt,637146711967
44,2023-06-10,2023-06-10,Ohne Geld Syndikat im ABC -Klub,https://www.eventbrite.com/e/ohne-geld-syndikat-im-abc-klub-tickets-631165301407,DE,Berlin,BE,Hirschgartenstraße 14,12555.0,52.45592809999999,13.5970723,Hirschgartenstraße 14,631165301407
44,2023-06-07,2023-06-07,"Painting Workshop - Oil Colors, Acrylics [Plasticity]",https://www.eventbrite.com/e/painting-workshop-oil-colors-acrylics-plasticity-registration-640967179087,DE,Berlin,BE,Bugenhagenstraße 9,10551.0,52.5279417,13.341613,CISpace Coworking Café,640967179087
44,2023-06-11,2023-06-11,Drawing Cafe [#23] Coffee & Sketching in Berlin,https://www.eventbrite.com/e/drawing-cafe-23-coffee-sketching-in-berlin-tickets-650135953137,DE,Berlin,Berlin,Brunnenstraße 197-198,10119.0,52.5299767,13.40080320000004,Mein Haus am See,650135953137
44,2023-06-15,2023-06-15,Hey White Wine Lovers! - Wine Tasting in Berlin (English),https://www.eventbrite.com/e/hey-white-wine-lovers-wine-tasting-in-berlin-english-tickets-638603910487,DE,Berlin,BE,Sredzkistraße 36,10435.0,52.5381234,13.4182109,FIND YOUR WINE MATCH,638603910487
44,2023-06-25,2023-06-25,чтение для детей - Russiches Lesecafé ( für Kinder von 1 bis 6 Jahren ),https://www.eventbrite.de/e/-russiches-lesecafe-fur-kinder-von-1-bis-6-jahren-tickets-642804685117,DE,Berlin,BE,Florapromenade 4,13187.0,52.56460449999999,13.4040692,Florapromenade 4,642804685117
44,2023-09-08,2023-09-09,BearDance Folsom Berlin,https://www.eventbrite.de/e/beardance-folsom-berlin-tickets-623180398347,DE,Berlin,BE,Oranienstraße 190,10999.0,52.5003921,13.4221017,SO 36,623180398347
44,2023-06-10,2023-06-10,ReVibe Workshop Edition #2: Upcycled Festival Kimonos,https://www.eventbrite.de/e/revibe-workshop-edition-2-upcycled-festival-kimonos-tickets-635519324407,DE,Berlin,BE,Hermannstraße 57,12049.0,52.4765929,13.4263464,Hermannstraße 57,635519324407
44,2023-06-15,2023-06-16,N'GONE'S SOLO LOUNGE SHOW,https://www.eventbrite.de/e/ngones-solo-lounge-show-tickets-644279686887,DE,Berlin,BE,Müggelstraße 9,10247.0,52.51201479999999,13.470691,Bar Bobu,644279686887
44,2023-06-08,2023-06-09,PLUM GREEN finally in Berlin!!,https://www.eventbrite.de/e/plum-green-finally-in-berlin-tickets-643627907397,DE,Berlin,BE,Müggelstraße 9,10247.0,52.51201479999999,13.470691,Bar Bobu,643627907397
44,2023-06-22,2023-06-22,Workshop - Introduction to 3D printing with FDM & SLA technology,https://www.eventbrite.de/e/workshop-introduction-to-3d-printing-with-fdm-sla-technology-tickets-637955420837,DE,Berlin,Berlin,Bouchéstraße 12,12435.0,52.4936476,13.448235,MotionLab.Berlin,637955420837
